time,seconds_elapsed,text,millisecond_press_duration
1766302545301000000,12.736,Majestic,67
1766302674425000000,141.86,Sir M,89
1766302775817000000,243.252,Vidhan Souda,146
1766302875381000000,342.816,Cubbon Park,55
1766303042396000000,509.831,MG Road,53
1766303148453000000,615.888,Trinity ,60
1766303284876000000,752.311,Halasuru,55
1766303449445000000,916.88,Indiranagar ,67
1766303622865000000,1090.3,KV Road,55
1766303769424000000,1236.859,Baiyaopanahalli,57
1766303937541000000,1404.976,Benniganahalli,71
1766304057492000000,1524.927,Krishnarajapura,34
1766304198243000000,1665.678,Singayannapalaya ,78
1766304315575000000,1783.01,Garydacharpalaya,56
1766304476421000000,1943.856,Hoodi,66
1766304579899000000,2047.334,Seetarama palaya ,44
1766304693405000000,2160.84,Kundalahalli ,88
1766304752799000000,2220.234,My Annotation 2,17119
1766304785727000000,2253.162,Nallur halli ,65
