time,seconds_elapsed,text,millisecond_press_duration
1766330577450000000,49.887999755859376,kundalahalli,79
1766330694512000000,166.95,seetharam palys,79
1766330812505000000,284.943,hoodi,82
1766330972984000000,445.422,Garudachar palya,62
1766331106278000000,578.7160002441407,singayyanapalya,47
1766331252073000000,724.511,krishnarajapura,79
1766331339070000000,811.5080002441406,My Annotation 2,25
1766331340018000000,812.4559997558594,My Annotation 2,69
1766331394665000000,867.103,Benniganahalli,65
1766331559427000000,1031.865,baiyyapanahalli,63
1766331715054000000,1187.4920002441406,Swami Vivekananda,80
1766331898287000000,1370.725,Indiranagar,113
1766332059822000000,1532.2600002441407,halasuru,64
1766332165275000000,1637.713,Trinity,62
1766332287302000000,1759.7400002441407,MG Road,78
1766332461173000000,1933.611,Cubbon Park,95
1766332554213000000,2026.651,vidhana soudha,78
1766332657980000000,2130.418,Central College,43
1766332786582000000,2259.0200002441406,majestic,81
1766332879510000000,2351.9480002441405,Krantiveera Railway Station,63
1766333026980000000,2499.418,Magadi Road,65
1766333160549000000,2632.987,Hosahalli,113
1766333270963000000,2743.401,Vijaynagar,74
