time,seconds_elapsed,text,millisecond_press_duration
1766330584114000000,45.40199975585937,Kundalahalli ,66
1766330694615000000,155.903,Sitaram palaya,30
1766330811201000000,272.489,Hoodi,71
1766330977646000000,438.93400024414063,Garudachar palaya,78
1766331103091000000,564.379,Singayannapalaya ,42
1766331245120000000,706.408,Krishnarajapura ,42
1766331373616000000,834.904,Benniganahalli ,55
1766331556241000000,1017.529,Baiyapanahalli ,75
1766331705476000000,1166.764,SV Road,87
1766331895768000000,1357.056,Indiranagar ,38
1766332058669000000,1519.957,Halasuru ,43
1766332164824000000,1626.112,Trinity ,52
1766332281323000000,1742.611,MG Road,111
1766332460454000000,1921.7420002441406,Cubbon Park ,44
1766332552858000000,2014.1459997558593,Vidhan soudha ,34
1766332651748000000,2113.036,Central college ,53
1766332790988000000,2252.276,Majestic ,49
1766332900239000000,2361.527,KSR railway station ,67
1766333023793000000,2485.081,Magadi Road ,29
1766333153337000000,2614.625,Hosahalli,65
1766333269962000000,2731.2499997558593,Vijaynagar ,55
