time,seconds_elapsed,text,millisecond_press_duration
1766301366892000000,4.972,rajajinagar,62
1766301470538000000,108.61799975585937,mahakavi kuvempu,32
1766301563372000000,201.452,Stirampura,78
1766301688047000000,326.127,mantri square,29
1766301836322000000,474.4019997558594,majestic,28
1766302520902000000,1158.9820002441406,majestic,49
1766302668743000000,1306.823,Sir M,61
1766302766460000000,1404.54,Dr BR,46
1766302877790000000,1515.8700002441406,Cubbon Park,73
1766303043640000000,1681.72,MG road,27
1766303153807000000,1791.887,Trinity,78
1766303284589000000,1922.669,Halasuru,62
1766303448260000000,2086.34,Indiranagar,61
1766303625322000000,2263.4019997558594,SV road,44
1766303767370000000,2405.449999755859,Baiyappanahallo,81
1766303940367000000,2578.447,Benniganahalli,46
1766304058956000000,2697.036,KR,65
1766304203441000000,2841.521,singayyanapalya,62
1766304308970000000,2947.0499997558595,Garudacharpalya,96
1766304476346000000,3114.4259997558593,Hoodi,45
1766304574972000000,3213.052,Seetharam Palya,62
1766304666868000000,3304.948,My Annotation 1,31
1766304690750000000,3328.8300002441406,Kundalahalli,64
1766304799596000000,3437.676,Nallur halli,79
