time,seconds_elapsed,text,millisecond_press_duration
1769154252421000000,4.084,Sandalsoap factory,69
1769154369944000000,121.607,Mahalakshmi ,67
1769154466946000000,218.60899975585937,Rajajinagar ,53
1769154574393000000,326.056,Mahakavi Kuvempu road,32
1769154662965000000,414.628,Sriampura,58
1769154796634000000,548.2969997558594,Mantri square,49
1769154960031000000,711.694,Switch points (majestic),71
1769155263231000000,1014.894,Boarded metro on different metro line at majestic ,54
1769155505985000000,1257.648,Br ambedkar ,174
1769155605267000000,1356.93,Cubvon park,73
1769155616213000000,1367.876,Okay just to clarify I missed Sri m visweswary station I forgot to write down  that stop,58
1769155757610000000,1509.2729997558595,Mahatma Gandhi road,70
1769155878252000000,1629.915,Trinity,58
1769156009611000000,1761.274,Halasuru,104
1769156087417000000,1839.08,Oh also just letting you know while the first leg I was sitting down with phone in hand not too much movement. Second metro leg ie rn I'm standing and  phone is in hand and I'm walking around a Lil more ig,214
1769156173540000000,1925.203,Indiranagar ,58
1769156348968000000,2100.631,Swami Vivekananda road,448
1769156512181000000,2263.844,Baiyapanahalli,29
1769156679779000000,2431.442,Benniganahall,56
1769156790960000000,2542.623,Krishanarajapura,67
1769156945041000000,2696.704,Singayannapalya,321
1769157059223000000,2810.886,Garudaxhapalya,51
1769157236592000000,2988.255,Hoodi,102
1769157344487000000,3096.15,Seetharam palya,53
1769157452646000000,3204.3090002441404,Kundalahalli ,58
1769157565495000000,3317.158,Nallur halli ,50
1769157673552000000,3425.215,Sri Sathya Sai hospital,31
1769157693261000000,3444.924,In the second leg I've spent time sitting too after baiyapanahalli,64
1769157823570000000,3575.2329997558595,Pattandur Agrahara ,85
1769158070626000000,3822.2889997558595,Hopefarm channasandra,101
1769158077868000000,3829.531,I missed one stop before this I think so-kadugodi tree park ,63
1769158155199000000,3906.862,Approaching Whitefield which is the last stop idk if you can tell the creeping and slower coming to a halt than normal,62
1769158298558000000,4050.2210002441407,Whitefield,46
